,,,,,,,,
,,,,,,,,
 RATE,Item Group,Service Name,Online/Offline,Duration,Single Session (INR),INCLUDES,Short Description,Long Description
,Chiropractic & Osteopathy,Online Chiropractic Consultation,Online,30 min,700,,Online Chiropractic Consultation is a 30 min session available online under our Chiropractic & Osteopathy services.,"Our Online Chiropractic Consultation offers personalized support designed to enhance well-being within the area of Chiropractic & Osteopathy. This 30 min session, available online, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Chiropractic & Osteopathy,Shockwave Therapy,Offline,15 min,1200,,Shockwave Therapy is a 15 min session available offline under our Chiropractic & Osteopathy services.,"Our Shockwave Therapy offers personalized support designed to enhance well-being within the area of Chiropractic & Osteopathy. This 15 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Chiropractic & Osteopathy,Muscle Trigger Point Therapy,Offline,20 min,700,,Muscle Trigger Point Therapy is a 20 min session available offline under our Chiropractic & Osteopathy services.,"Our Muscle Trigger Point Therapy offers personalized support designed to enhance well-being within the area of Chiropractic & Osteopathy. This 20 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Chiropractic & Osteopathy,Functional Movement Screen,Offline,45 min,1500,,Functional Movement Screen is a 45 min session available offline under our Chiropractic & Osteopathy services.,"Our Functional Movement Screen offers personalized support designed to enhance well-being within the area of Chiropractic & Osteopathy. This 45 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Initial Ayurvedic Consultation (Prakriti Analysis),Both,60 min,800,,Initial Ayurvedic Consultation (Prakriti Analysis) is a 60 min session available both under our Ayurveda & Naturopathy services.,"Our Initial Ayurvedic Consultation (Prakriti Analysis) offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Abhyangam (Full Body Massage),Offline,60 min,1000,,Abhyangam (Full Body Massage) is a 60 min session available offline under our Ayurveda & Naturopathy services.,"Our Abhyangam (Full Body Massage) offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Shirodhara (Head Oil Treatment),Offline,45 min,1500,,Shirodhara (Head Oil Treatment) is a 45 min session available offline under our Ayurveda & Naturopathy services.,"Our Shirodhara (Head Oil Treatment) offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 45 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Panchakar ma 7-day Detox Program,Offline,7 days,6000,,Panchakar ma 7-day Detox Program is a 7 days session available offline under our Ayurveda & Naturopathy services.,"Our Panchakar ma 7-day Detox Program offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 7 days session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Panchakar ma 14-day Rejuvenati on Program,Offline,14 days,10500,,Panchakar ma 14-day Rejuvenati on Program is a 14 days session available offline under our Ayurveda & Naturopathy services.,"Our Panchakar ma 14-day Rejuvenati on Program offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 14 days session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,"Udwarthan am (Herbal Powder
Massage)",Offline,45 min,1200,,"Udwarthan am (Herbal Powder
Massage) is a 45 min session available offline under our Ayurveda & Naturopathy services.","Our Udwarthan am (Herbal Powder
Massage) offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 45 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,"Kizhi (Herbal Bolus
Therapy)",Offline,45 min,1400,,"Kizhi (Herbal Bolus
Therapy) is a 45 min session available offline under our Ayurveda & Naturopathy services.","Our Kizhi (Herbal Bolus
Therapy) offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 45 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Nasya (Nasal Cleansing),Offline,30 min,700,,Nasya (Nasal Cleansing) is a 30 min session available offline under our Ayurveda & Naturopathy services.,"Our Nasya (Nasal Cleansing) offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 30 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,"Snehan (Oil Massage
for Joints)",Offline,30 min,800,,"Snehan (Oil Massage
for Joints) is a 30 min session available offline under our Ayurveda & Naturopathy services.","Our Snehan (Oil Massage
for Joints) offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 30 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Basti (Herbal Enema),Offline,45 min,1200,,Basti (Herbal Enema) is a 45 min session available offline under our Ayurveda & Naturopathy services.,"Our Basti (Herbal Enema) offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 45 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Ayurvedic Weight Management Program,Both,60 min,1600,,Ayurvedic Weight Management Program is a 60 min session available both under our Ayurveda & Naturopathy services.,"Our Ayurvedic Weight Management Program offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Detoxification & Rejuvenation Program,Both,60 min,1200,,Detoxification & Rejuvenation Program is a 60 min session available both under our Ayurveda & Naturopathy services.,"Our Detoxification & Rejuvenation Program offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Ayurvedic Skin & Hair Treatment,Offline,60 min,1400,,Ayurvedic Skin & Hair Treatment is a 60 min session available offline under our Ayurveda & Naturopathy services.,"Our Ayurvedic Skin & Hair Treatment offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Ayurvedic Stress Management,Both,45 min,1200,,Ayurvedic Stress Management is a 45 min session available both under our Ayurveda & Naturopathy services.,"Our Ayurvedic Stress Management offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 45 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Herbal Poultice Therapy,Offline,30 min,800,,Herbal Poultice Therapy is a 30 min session available offline under our Ayurveda & Naturopathy services.,"Our Herbal Poultice Therapy offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 30 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Marma Therapy (Vital Points Massage),Offline,60 min,1200,,Marma Therapy (Vital Points Massage) is a 60 min session available offline under our Ayurveda & Naturopathy services.,"Our Marma Therapy (Vital Points Massage) offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Hatha Yoga Session,Both,60 min,600,,Hatha Yoga Session is a 60 min session available both under our Ayurveda & Naturopathy services.,"Our Hatha Yoga Session offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,"Therapeutic Yoga for
Pain Relief",Both,60 min,600,,"Therapeutic Yoga for
Pain Relief is a 60 min session available both under our Ayurveda & Naturopathy services.","Our Therapeutic Yoga for
Pain Relief offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,Pranayama & Meditation Class,Both,45 min,400,,Pranayama & Meditation Class is a 45 min session available both under our Ayurveda & Naturopathy services.,"Our Pranayama & Meditation Class offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 45 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Ayurveda & Naturopathy,"Customized Herbal Medicine &
Diet Plan",Both,30 min,700,,"Customized Herbal Medicine &
Diet Plan is a 30 min session available both under our Ayurveda & Naturopathy services.","Our Customized Herbal Medicine &
Diet Plan offers personalized support designed to enhance well-being within the area of Ayurveda & Naturopathy. This 30 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,Initial Dermatology Consultation,Offline,30 min,800,,Initial Dermatology Consultation is a 30 min session available offline under our Aesthetic Dermatology services.,"Our Initial Dermatology Consultation offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 30 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,Acne Treatment & Scar Reduction,Offline,45 min,3000,,Acne Treatment & Scar Reduction is a 45 min session available offline under our Aesthetic Dermatology services.,"Our Acne Treatment & Scar Reduction offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 45 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,Chemical Peeling (Superficial/Medium),Offline,30 min,2500,,Chemical Peeling (Superficial/Medium) is a 30 min session available offline under our Aesthetic Dermatology services.,"Our Chemical Peeling (Superficial/Medium) offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 30 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,Laser Hair Removal (per session),Offline,30-60 min,1500,,Laser Hair Removal (per session) is a 30-60 min session available offline under our Aesthetic Dermatology services.,"Our Laser Hair Removal (per session) offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 30-60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,Skin Rejuvenation Therapy,Offline,60 min,4500,,Skin Rejuvenation Therapy is a 60 min session available offline under our Aesthetic Dermatology services.,"Our Skin Rejuvenation Therapy offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,Microneedling,Offline,60 min,4000,,Microneedling is a 60 min session available offline under our Aesthetic Dermatology services.,"Our Microneedling offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,PRP for Hair Restoration,Offline,60 min,8000,,PRP for Hair Restoration is a 60 min session available offline under our Aesthetic Dermatology services.,"Our PRP for Hair Restoration offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,"Skin Pigmentation & Melasma
Treatment",Offline,45 min,3500,,"Skin Pigmentation & Melasma
Treatment is a 45 min session available offline under our Aesthetic Dermatology services.","Our Skin Pigmentation & Melasma
Treatment offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 45 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,"Anti-aging & Wrinkle
Reduction",Offline,60 min,4500,,"Anti-aging & Wrinkle
Reduction is a 60 min session available offline under our Aesthetic Dermatology services.","Our Anti-aging & Wrinkle
Reduction offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,Dermal Fillers (per syringe),Offline,30-60 min,8000,,Dermal Fillers (per syringe) is a 30-60 min session available offline under our Aesthetic Dermatology services.,"Our Dermal Fillers (per syringe) offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 30-60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,Botox (per unit),Offline,15 min,1200,,Botox (per unit) is a 15 min session available offline under our Aesthetic Dermatology services.,"Our Botox (per unit) offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 15 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,"Body Contouring & Fat
Reduction",Offline,60 min,6500,,"Body Contouring & Fat
Reduction is a 60 min session available offline under our Aesthetic Dermatology services.","Our Body Contouring & Fat
Reduction offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,Mole & Skin Tag Removal,Offline,15-30 min,3000,,Mole & Skin Tag Removal is a 15-30 min session available offline under our Aesthetic Dermatology services.,"Our Mole & Skin Tag Removal offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 15-30 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,"Facial Glow & Hydration
Treatments",Offline,45 min,2600,,"Facial Glow & Hydration
Treatments is a 45 min session available offline under our Aesthetic Dermatology services.","Our Facial Glow & Hydration
Treatments offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 45 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,"Wart & Corn
Removal",Offline,15 min,2500,,"Wart & Corn
Removal is a 15 min session available offline under our Aesthetic Dermatology services.","Our Wart & Corn
Removal offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 15 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,"Cosmetic ""Peels for Body""",Offline,60 min,4000,,"Cosmetic ""Peels for Body"" is a 60 min session available offline under our Aesthetic Dermatology services.","Our Cosmetic ""Peels for Body"" offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,"Laser Tattoo Removal (per
session)",Offline,30-60 min,3500,,"Laser Tattoo Removal (per
session) is a 30-60 min session available offline under our Aesthetic Dermatology services.","Our Laser Tattoo Removal (per
session) offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 30-60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,"Stretch Mark
Reduction",Offline,60 min,4000,,"Stretch Mark
Reduction is a 60 min session available offline under our Aesthetic Dermatology services.","Our Stretch Mark
Reduction offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,Medifacial (Specific concerns),Offline,60 min,3000,,Medifacial (Specific concerns) is a 60 min session available offline under our Aesthetic Dermatology services.,"Our Medifacial (Specific concerns) offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 60 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Aesthetic Dermatology,Online Aesthetic Skin Care Plan,Online,30 min,199,,Online Aesthetic Skin Care Plan is a 30 min session available online under our Aesthetic Dermatology services.,"Our Online Aesthetic Skin Care Plan offers personalized support designed to enhance well-being within the area of Aesthetic Dermatology. This 30 min session, available online, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,Initial Nutrition Consultation,Both,60 min,"1,000",,Initial Nutrition Consultation is a 60 min session available both under our Nutrition & Dietetics services.,"Our Initial Nutrition Consultation offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,Weight Manageme nt Program,Both,45 min,1500,,Weight Manageme nt Program is a 45 min session available both under our Nutrition & Dietetics services.,"Our Weight Manageme nt Program offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 45 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,Clinical Nutrition for specific conditions,Both,45 min,1400,,Clinical Nutrition for specific conditions is a 45 min session available both under our Nutrition & Dietetics services.,"Our Clinical Nutrition for specific conditions offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 45 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,Personalized Diet Plan Creation,Both,30 min,"1,800",,Personalized Diet Plan Creation is a 30 min session available both under our Nutrition & Dietetics services.,"Our Personalized Diet Plan Creation offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 30 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,Sports Nutrition Consultation,Both,60 min,"1,200",,Sports Nutrition Consultation is a 60 min session available both under our Nutrition & Dietetics services.,"Our Sports Nutrition Consultation offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,Pediatric Nutrition Counselling,Both,45 min,"1,000",,Pediatric Nutrition Counselling is a 45 min session available both under our Nutrition & Dietetics services.,"Our Pediatric Nutrition Counselling offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 45 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,Pregnancy & Postpartum Nutrition,Both,45 min,"2,500",,Pregnancy & Postpartum Nutrition is a 45 min session available both under our Nutrition & Dietetics services.,"Our Pregnancy & Postpartum Nutrition offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 45 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,Family Meal Planning Session,Both,60 min,"3,000",,Family Meal Planning Session is a 60 min session available both under our Nutrition & Dietetics services.,"Our Family Meal Planning Session offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,Nutritional Assessment & Body Composition Analysis,Offline,30 min,800,,Nutritional Assessment & Body Composition Analysis is a 30 min session available offline under our Nutrition & Dietetics services.,"Our Nutritional Assessment & Body Composition Analysis offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 30 min session, available offline, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,Group Nutrition Workshop,Both,90 min,"1,200",,Group Nutrition Workshop is a 90 min session available both under our Nutrition & Dietetics services.,"Our Group Nutrition Workshop offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 90 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,Gut Health & Microbiome Diet,Both,45 min,"1,000",,Gut Health & Microbiome Diet is a 45 min session available both under our Nutrition & Dietetics services.,"Our Gut Health & Microbiome Diet offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 45 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Nutrition & Dietetics,Vegetarian/ Vegan Diet Planning,Both,30 min,800,,Vegetarian/ Vegan Diet Planning is a 30 min session available both under our Nutrition & Dietetics services.,"Our Vegetarian/ Vegan Diet Planning offers personalized support designed to enhance well-being within the area of Nutrition & Dietetics. This 30 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
